월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
3,6,디시인사이드,시대인재,생과맨쌤,"수업시간에 넌 나가라, 노오오력 이러는데 혹시…
네!안녕하세요 섭이입니다~ 정 석 준 씨 정말 그러시면 안 되는 거죵 어떻게 수업시간에 학생들에게 넌 나가라는 소리를 하실 수가 있죠? 님때문에 스투에서 나가고 시대인재간다고 원장님이 신고한다! 그래요요요요옹",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=251924
3,6,디시인사이드,시대인재,생명2 맛집 시대인재라 해서 질문드리러 왔습니다.,"수의대 목표로 하고있습니다. 대부분 수의대들이 과탐에서 백분위 변환 표준점수를 메긴다고 알고있습니다. 대학 전공이 생명이라 일반생물학 했었어서-이것도 7년전 얘기. 생2를 공부해야 다시 기억날 정도- 생2를 하려고 하는데 생1과 생2중 뭐가 더 유리할까요? 생1 지1 혹은 생2 지1 생각중입니다. 조언 부탁드립니다
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603457
3,6,디시인사이드,시대인재,시대인재갤 변천사,"현역때는 무서웠고
재수때는 역겨웠고
삼수때는 친근했고
대학와선 동화됐다",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603024
3,6,디시인사이드,시대인재,이거 서울대 에타에 누가 올려봐라,"https://m.dcinside.com/board/sdijn/2556556
큰삼촌이 금오공대 교수라 교수 피셜 듣고 옴
- 시대인재 N 재수종합 마이너 갤러리
참고로 학석 서울대 T10 미박 출신공대 기준인듯 ->학벌 중요하다는 말은 패시브(자동적으로 증명되는 성실성 및 지적 능력과 같은 이미지, 본인 만족 혹은 자격지심)가 전부가 된지 오래됐다 너희 부모 바로
m.dcinside.com",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603011
3,6,디시인사이드,시대인재,대학생활 대학생활 그러는데,"와꾸 ㅍㅌㅊ 이하거나 스타일 안좋으면 대학생활 재밌게 못함ㅋㅋ
부남이 대학가면 재밌게 하겠노?? 걍 고등학교,시대인재 시즌2찍는거임
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2602864
3,6,디시인사이드,시대인재,시대인재 스탭은,"뭔 기준으로 뽑는거임?
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2602626
3,6,디시인사이드,기숙학원,근데 부모님들은 첨엔 재수 아예 안된다고하다가,"우리집은 죽어도 안돤다고 햇는데
내 혈족 수능망하고 나니까 4수를 시 켜줌
기숙학원도 보내고 강대도 보냄
그러고 결과는 첨보다 더 안나오니까
엄빠는 학력이 인생에서 전부가 아니라고 위로시켜주고
내혈족 아직까지 엄카쓰고 자취집도 해줌",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=295299
3,6,디시인사이드,기숙학원,105만원짜리 기숙학원 vs 독재+영어과외,"지금 경상도에 달에 105만원짜리 기숙학원 다니고 있음
들어온지는 한 달 됐는데 좀 불편해서 걍 집가서 독재+영어과외 받을까 하는데 ㅇㄸ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10693183
3,7,디시인사이드,러셀,러셀 급식은 공장인데 맛있데,"친구가 다녔어서 물어봤는데
메가푸드라고 밥공장을 차려서 여러지점에 나르나봄
한끼당 7300원
국도 인버터에 데우면서 주는데도 평타친다는데
직접 만든 밥은 왜이럼?
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=252640
3,7,디시인사이드,러셀,러셀 ㅇㄸ?,걍 맘에 안들어서 옮길까 고민중인디 러셀같은 학루ㅜㄴ이 더 낫지 않나? 러셀은 장학받아서 80이던데 70내고 독서실 쓸바엔 10만넌 더 내고 단과도 듣는게 낫지않나?,https://gall.dcinside.com/mgallery/board/view/?id=itall&no=589039
3,7,디시인사이드,러셀,러셀 생각보단 싸네,강대는 200하드만 러셀은 110이네 지금 잇올다니는중인디 러셀 ㄱㅊ음?? 갈거면 평촌러셀갈거같은데,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46890
3,7,디시인사이드,러셀,재수 돈,"엄마가 달에 100 안으로만 지원 ㄱㄴ 하다는데
러셀 다니고 시대 라이브 안듣기랑 스카 다니면서 라이브 3개정도 듣는것 중 뭐가 나아보임",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2605796
